ENROLID,Bifidobacterium bifidum,Bifidobacterium breve,Bifidobacterium longum,Bacteroides fragilis,Prevotella copri,Prevotella stercorea,Enterococcus faecium,Lactobacillus ruminis,Streptococcus salivarius,Megamonas rupellensis,Megamonas unclassified,Megasphaera unclassified,Veillonella unclassified,Campylobacter coli,Escherichia coli,Escherichia unclassified,Klebsiella pneumoniae,Escherichia phage phAPEC8,Vibrio phage ICP1,Vibrio phage ICP2,Human adenovirus F,Other
514,0.001210004114013988,0.003630012342041963,0.28114095587925,0.001030003502011907,0.02352007996827189,5.0000170000578e-05,0.000830002822009595,0.001880006392021733,0.01345004573015549,5.0000170000578e-05,0.04844016469655997,0.003870013158044738,0.001580005372018265,0.0,0.2335407940386997,0.0118600403241371,0.01534005215617733,99.17511719539847,0.0,0.0,0.1398504754916167,0.04361014827450414
508,0.003940000788000158,0.005140001028000206,1.026100205220041,0.0,0.001180000236000047,0.0,0.0,8.000001600000321e-05,0.04117000823400165,0.0,0.0,0.0,0.003760000752000151,0.0,0.8295901659180331,0.5949801189960239,2.065290413058083,88.64771772954356,0.0,0.0,0.0,6.781051356210273
404,6.139646874007135,2.056828723697243,0.6478758832586231,0.8308463552332115,48.1855495034382,0.0,0.0,13.05908883512175,0.01014608863771416,0.0,0.0,8.608454920136147,0.01350472469861756,0.0,1.016984973462264,0.0,0.0,0.0,0.0,0.0,0.0,19.43107311830911
408,7.430321828019427,9.619596688659069,4.043908294043029,11.64068804749428,8.097588165916974,0.009390345841621782,0.003100018018227704,21.96005611734882,0.9286309638226891,0.0007323667162803312,1.093814771816602,0.0,0.0,10.80021196498605,1.286387088515246,0.0,0.0151489553641548,0.0,0.0,0.0,0.0,23.07042438343751
401,5.056576441924817,5.174381035282705,8.233525829603252,0.04009921777990304,33.96272584970793,0.0191434967278838,0.0,16.02254607305006,0.3081882702829452,0.0,0.001341646737205246,14.23914712918636,0.2206608391139284,0.0,1.353481262902086,0.09189278920947569,0.02199699911671585,0.0,0.0,0.0,0.0,15.25429311937472
409,3.32944770935258,1.318081229449872,4.87395234893178,5.299036866402155,13.76865022278836,0.0,0.05494794053347695,1.057737557679376,0.1694674395351256,0.04052101686642275,17.49821079372794,0.0,0.8322203354748887,0.0,1.542826132400234,0.145422566756702,0.1465244088925869,0.9652034134451515,0.0,0.0,0.0,48.95775001776334
513,0.0001199999880000012,0.0004599999540000045,0.007569999243000077,0.0,0.0,0.0,0.2451099754890024,0.0,0.0003899999610000039,0.0005299999470000053,0.05948999405100059,0.0,0.0,0.0,1.874829812517019,0.0,0.01535999846400015,97.73240022675998,0.0,0.0,0.0,0.06373999362600062
506,0.0005700099751745656,0.00188003290057576,0.004060071051243398,0.0,0.0,0.0,9.0001575027563e-05,0.0,0.01704029820521859,0.0,0.0,0.0,0.2020235354118697,0.0,1.910063426109957,0.0,3.43311007942639,25.65903903318308,0.0,0.0,66.87536031880558,1.896763193355883
406,20.30838406167681,20.78235415647083,22.23388444677688,1.384170276834055,0.2397600479520095,0.0,0.02399000479800096,5.154901030980205,3.861220772244153,0.01523000304600061,0.2636000527200105,0.0,1.384670276934055,0.0,2.569810513962102,0.0,0.0,0.0,0.0,0.0,0.0,21.77802435560486
511,0.002080398812452347,0.05274011027914047,1.718669468937195,0.0,0.0,0.0,78.01786602491696,0.0,2.162554561709479,0.0,0.0,0.0,0.2578994393225181,0.0,3.036582112791021,0.0,7.337386577006809,0.0,0.0,0.0,0.068663162728295,7.345558143496107
407,3.672789482802012,0.09115008947972136,0.8437159549964814,0.08291827518785144,35.01896818058701,4.776252686092016,0.0749465182126141,2.087820155562286,0.3996080736194259,0.3912762372826973,7.813102007682497,6.423185670121698,0.5974416761454228,0.0,3.964723825131061,0.0,0.03164697499328853,0.0,0.0,0.0,0.0,33.73045419210395
419,16.76284628738797,13.3385931016495,8.794707322295553,3.129788833536534,0.004750392857489314,0.0,0.0,6.988407941336749,0.5059918455256249,0.0,0.0,13.19026083457102,1.162596146701332,0.0,5.827211910424992,0.0,0.0,0.0,0.0,0.0,0.0,30.29484538371323
405,0.8442231016330926,1.098899120754695,0.04449279859703174,0.07691483794330661,2.467945233755202,0.0,0.0,0.03115195945824991,0.004220265454697099,10.84193195752012,47.51225852106096,0.07939499394511912,0.0,0.0,9.779145108227304,0.0,0.01961123354659007,0.0,0.0,0.0,0.0,27.19981086810359
411,0.007919999999999998,10.50115,15.60683,0.04533,18.59151,0.0,0.9472799999999998,0.0,1.01187,0.07472999999999998,24.34308,0.0,0.0,0.0,10.65057,0.0,0.0,0.0,0.0,0.0,0.0,18.21973
504,0.03646999270600145,0.01303999739200052,1.789709642058071,0.0006499998700000259,0.3414599317080136,0.03438999312200136,0.0,3.256669348666129,3.544789291042141,0.002329999534000093,0.0802799839440032,0.05781998843600231,0.004039999192000161,0.0,11.63167767366446,0.0,0.2224399555120088,76.34071473185705,0.0,0.0,0.0,2.643519471296106
518,0.0,0.0007799997660000702,0.002969999109000267,0.0,0.0,0.0,0.0,0.003499998950000315,3.301999009400297,0.0,0.0001199999640000108,0.0,0.0,0.0,17.65588470323459,0.0,0.0812599756220073,0.0,0.0,72.96642811007158,0.0,5.98705820388254
509,0.003560987818020719,0.01451402619086534,0.06009667081648449,0.0,0.0,0.0,0.01317365437172271,0.0,6.791223885505839,0.0,0.0,0.0,0.0,0.0,21.12284947844532,0.0,65.82609015740967,0.0,0.0,0.0,0.0,6.168491139442081
517,0.00456016644607528,0.02341085449618911,6.60196097157546,0.0,35.95948252111202,0.5159388317673593,0.0,0.5442198640250367,3.366542878815076,0.01177042962068115,0.8681016857115285,6.096972539497691,12.23262649086691,0.0,25.64079588904995,0.0,0.7129260217997955,0.0,0.0,0.0,0.0,7.420690855216216
507,0.004610000922000185,0.06854001370800274,0.08184001636800325,0.2393400478680096,0.0,0.0,0.5074201014840203,0.0,43.86119877223975,0.0,0.0,0.0,0.04903000980600196,0.0,33.25931665186332,0.0,0.9616301923260382,15.41531308306262,0.0,0.0,2.913700582740116,2.638060527612106
516,0.002850000000000001,0.009300000000000001,0.10498,0.0,13.41478,17.51786,0.0,0.0,0.39591,0.0,0.0,0.0,0.18914,0.01146,37.42367000000001,0.0,0.5785600000000002,0.0,12.60344,0.0,0.0,17.74805
515,0.003941700449573947,0.00641276646745406,9.410829831989524,0.5363213690386034,8.74228142020468,0.03823649522403966,0.0,0.0,4.846280685487722,0.0,22.18601104516489,1.430006904978808,0.4511146108431179,0.0,40.55331469996158,0.0,0.1723343450364488,0.08669740125890313,0.0,0.0,0.0,11.53621672389469
505,0.01366101364721263,0.6466379805381559,16.95490805417762,0.0,0.07996593347226365,0.0,0.01691125481510728,0.2080954406816986,13.12435382705397,0.0,0.0,0.0,0.0,0.0,66.50822491028836,0.0,0.2542988689760781,0.7940489184297475,0.0,0.0,0.0,1.398893797919806
512,0.01016113093387294,0.008950996245882165,0.3228959383179348,0.0,0.0257728685202663,0.0,0.1982420643417613,0.03904434563566925,10.78792069557342,0.0,0.003300367330883927,0.0,0.03604401169850203,0.0,73.4052600054386,0.0,2.916624620320242,1.362171609700159,0.0,0.0,0.0,10.8836113459428
502,0.0,0.01803999819600018,0.1692499830750017,0.0,0.0008699999130000086,0.0,0.6102599389740062,0.0,1.045709895429011,0.01679999832000017,0.05439999456000055,0.0,0.01803999819600018,0.0,78.95305210469479,0.0,0.8247299175270083,16.12651838734817,0.0,0.0,0.0,2.162329783767022
501,0.02611001044400418,0.05072002028800812,0.05863002345200938,0.0,0.1102900441160177,0.0,0.0,0.04022001608800644,0.03917001566800627,0.0,0.0,0.02128000851200341,0.002850001140000457,0.0,81.19874247949699,18.31432732573093,0.01510000604000242,0.0,0.0,0.0,0.0,0.1225600490240197
503,0.1625226995671529,0.159732138106187,0.1293960344821378,0.01228247123321212,0.004960998152828349,0.0,0.1867575756242156,0.05981203418127728,2.922327972388045,0.0,0.0,0.0,0.009962004355276282,0.0,85.58850040628175,0.0,3.651964775312794,0.4064417760853484,0.0,0.0,0.0,6.705339114229783
510,0.0,0.08296000000000002,0.4167000000000001,0.03632000000000001,0.0,0.0,0.01106,2.53634,5.62961,0.0,0.0,0.0,0.00149,0.0,87.75277000000001,0.0,0.03027000000000001,0.27141,0.0,0.0,0.04781000000000001,3.18326
